yogafire 2017-04-05 00:00:01
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0   2932 1718736 370536 501860    0    0     0     1    1    1  0  0 99  0
 0  0   2932 1718816 370540 501876    0    0     0     7   84   70  0  0 100  0
 0  0   2932 1718816 370540 501876    0    0     0     7   62   63  0  0 100  0
 0  0   2932 1718816 370548 501876    0    0     0     3   56   63  0  0 100  0
 0  0   2932 1720600 370548 501876    0    0     0     2  101   79  0  1 99  0
 0  0   2932 1722088 370548 501876    0    0     0     9   87   76  0  0 100  0
 0  0   2932 1722088 370552 501876    0    0     0     2   60   65  0  0 100  0
 0  0   2932 1722088 370560 501876    0    0     0     1   62   61  0  0 100  0
 0  0   2932 1720288 370572 501876    0    0     0    22  154  120  0  1 99  0
 0  0   2932 1720196 370580 501876    0    0     0     7   88   80  0  0 100  0
 0  0   2932 1719684 370580 501888    0    0     0    15   89   89  0  0 100  0
 0  0   2932 1719684 370580 501888    0    0     0     1   53   59  0  0 100  0
 2  0   2932 1718924 370580 501888    0    0     0     2   79   69  0  0 99  0
 0  0   2932 1718816 370588 501888    0    0     0    10  103   95  0  0 99  0
 0  0   2932 1718816 370596 501888    0    0     0     1   59   59  0  0 100  0
 0  0   2932 1718304 370604 501920    0    0     0    42  123   98  1  0 99  0
 0  0   2932 1718304 370604 501920    0    0     0     1   70   63  0  0 100  0
 0  0   2932 1719320 370620 501924    0    0     0    13  108   78  0  1 99  0
 0  0   2932 1719568 370636 502168    0    0     2   126  124  118  1  0 99  0
 0  0   2932 1718932 370636 502168    0    0     0     3   73   75  0  0 100  0
 0  0   2932 1718948 370640 502168    0    0     0    17   76   67  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2932 1718824 370644 502168    0    0     0     6  101   84  0  2 98  0
 0  0   2932 1718824 370648 502168    0    0     0     7   52   61  0  0 100  0
 0  0   2932 1719072 370652 502168    0    0     0     2   80   77  1  0 99  0
 0  0   2932 1720072 370664 502168    0    0     0    25  100   79  0  0 99  0
 0  0   2932 1721716 370664 502168    0    0     0     5  100   86  0  1 99  0
 0  0   2932 1719436 370672 502196    0    0     0    49  140  111  1  1 98  0
 0  0   2932 1719436 370676 502196    0    0     0     6   54   61  0  0 100  0
 0  0   2932 1718032 370680 502208    0    0     0    21  143  112  0  0 99  0
 0  0   2932 1716544 370692 502216    0    0     0    37   99   92  0  1 99  0
 0  0   2932 1717172 370696 502216    0    0     0     2   49   57  0  0 100  0
 0  0   2932 1717172 370704 502216    0    0     0    11   51   63  0  0 100  0
 0  0   2932 1710064 370708 502236    0    0     0    13  146  116  0  1 99  0
 0  0   2932 1699928 370724 502260    0    0     0    78  243  175  2  1 97  0
 0  0   2932 1699928 370728 502260    0    0     0    14   51   60  0  0 100  0
 0  0   2932 1700060 370732 502260    0    0     0     6   60   64  0  0 100  0
 3  0   2932 1700672 370740 502260    0    0     0     1   86   74  0  1 99  0
 0  0   2932 1700844 370760 502280    0    0     0    42  196  155  1  2 97  0
 1  0   2932 1700844 370768 502280    0    0     0     5   53   64  0  0 100  0
 0  0   2932 1701348 370776 502280    0    0     0    12   56   66  0  0 100  0
 0  0   2932 1701984 370776 502284    0    0     0     5   92   88  0  0 100  0
 0  0   2932 1701364 370784 502284    0    0     0     6  119  105  0  2 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2932 1701364 370784 502284    0    0     0    10   51   68  0  0 100  0
 0  0   2932 1701364 370788 502284    0    0     0     2   56   71  0  0 100  0
 0  0   2932 1704264 370792 502284    0    0     0     3   88   73  0  0 100  0
 0  0   2932 1704760 370796 502284    0    0     0     5   96   94  0  1 99  0
 0  0   2932 1704760 370796 502288    0    0     0     1   54   63  0  0 100  0
 0  0   2932 1705760 370800 502288    0    0     0     5   60   67  0  0 100  0
 0  0   2932 1705000 370808 502288    0    0     0    11   96   79  0  0 100  0
 0  0   2932 1704752 370812 502292    0    0     0     5   88   76  0  1 99  0
 0  0   2932 1703744 370812 502300    0    0     0    13   79   85  0  0 100  0
 0  0   2932 1703620 370820 502300    0    0     0     3   55   70  0  0 100  0
 0  0   2932 1702620 370820 502300    0    0     0     2   95   82  0  1 99  0
 0  0   2932 1702744 370820 502300    0    0     0     6   68   66  0  0 100  0
 0  0   2932 1703008 370824 502308    0    0     0     3   74   71  0  0 100  0
 0  0   2932 1703008 370824 502308    0    0     0     6   56   68  0  0 100  0
 0  0   2932 1702976 370840 502308    0    0     0     3   92   76  0  1 99  0
 0  0   2932 1703760 370840 502308    0    0     0     5   74   67  0  0 100  0
 0  0   2932 1703760 370848 502308    0    0     0     5   54   68  0  0 100  0
 1  0   2932 1703636 370856 502308    0    0     0     4   64   68  0  0 100  0
 4  0   2932 1703480 370864 502308    0    0     0     1   75   73  0  1 99  0
 0  0   2932 1704264 370864 502312    0    0     0    11   98   83  0  1 99  0
 0  0   2932 1704264 370872 502312    0    0     0     1   54   59  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2932 1704264 370876 502312    0    0     0     2   54   59  0  0 100  0
 0  0   2932 1704380 370880 502312    0    0     0     2   96   79  0  1 99  0
 0  0   2932 1704140 370884 502312    0    0     0     5   78   67  0  0 100  0
 0  0   2932 1705140 370892 502312    0    0     0     4   63   60  0  0 100  0
 0  0   2932 1705140 370896 502312    0    0     0     1   63   63  0  0 100  0
 3  0   2932 1705116 370904 502312    0    0     0     2   82   73  0  1 99  0
 0  0   2932 1705636 370908 502316    0    0     0     9   93   93  0  1 99  0
 1  0   2932 1702324 370916 502356    0    0     0    29  175  141  1  1 98  0
 0  0   2932 1701968 370932 502344    0    0     0    20  123  102  1  0 99  0
 0  0   2932 1701224 370944 502344    0    0     0    35  106   90  0  0 100  0
 0  0   2932 1699860 370948 502344    0    0     0     6   97   74  0  1 99  0
 1  0   2932 1699860 370952 502348    0    0     0     9   67   64  0  0 100  0
 0  0   2932 1699860 370952 502348    0    0     0     3   58   60  0  0 100  0
 0  0   2932 1699860 370956 502348    0    0     0     1   69   63  0  0 100  0
 0  0   2932 1700992 370964 502356    0    0     0    12   99   77  0  1 99  0
 0  0   2932 1703380 370972 502356    0    0     0     1   68   64  0  0 100  0
 0  0   2932 1703256 370980 502356    0    0     0     2   55   62  0  0 100  0
yogafire 2017-04-05 00:20:01
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0   2932 1703128 370984 502356    0    0     0     1    1    1  0  0 99  0
 0  0   2932 1705016 370988 502356    0    0     0     6   97   84  0  0 100  0
 0  0   2932 1705016 370988 502356    0    0     0     6   56   60  0  0 100  0
 0  0   2932 1705016 370988 502356    0    0     0     2   58   62  0  0 100  0
 0  0   2932 1705200 370992 502356    0    0     0     1   92   75  0  1 99  0
 0  0   2932 1705388 371000 502356    0    0     0     5   75   71  0  0 100  0
 0  0   2932 1705388 371012 502356    0    0     0     2   59   62  0  0 100  0
 0  0   2932 1705388 371020 502356    0    0     0     4   57   64  0  0 100  0
 0  0   2932 1705564 371028 502356    0    0     0     1  101   77  0  1 99  0
 0  0   2932 1705644 371032 502356    0    0     0     5   83   74  0  0 100  0
 0  0   2932 1705644 371032 502356    0    0     0     4   54   60  0  0 100  0
 0  0   2932 1705388 371052 502360    0    0     0    19  174  139  0  2 98  0
 2  0   2932 1700060 371064 502360    0    0     0     9  192  148  0  2 97  0
 0  0   2932 1703892 371080 502364    0    0     0    35  160  123  0  1 99  0
 0  0   2932 1703248 371088 502368    0    0     0     4  145  109  0  1 98  0
 0  0   2932 1702464 371092 502368    0    0     0    11  128  114  0  0 99  0
 0  0   2932 1698944 371096 502368    0    0     0    10  163  134  0  1 98  0
 0  0   2932 1694836 371124 502304    0    0     1    51  169  145  0  0 99  0
 0  0   2932 1694672 371124 502308    0    0     0    34   85   81  0  0 100  0
 0  0   2932 1693292 371124 502316    0    0     0     4   82   79  0  0 100  0
 0  0   2932 1692628 370364 502380    0    0     0     6  105   89  0  2 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2932 1692824 370368 502316    0    0     0     6   77   73  0  0 100  0
 0  0   2932 1692824 370368 502316    0    0     0     3   63   72  0  0 100  0
 0  0   2932 1692824 370368 502316    0    0     0     8   68   76  0  0 100  0
 0  0   2932 1695444 370372 502316    0    0     0     2  113   90  0  1 99  0
 0  0   2932 1696080 370376 502316    0    0     0     5   78   72  0  0 100  0
 0  0   2932 1697444 370384 502316    0    0     0     8   91   77  0  0 100  0
 0  0   2932 1697444 370388 502316    0    0     0     1   64   66  0  0 100  0
 0  0   2932 1692636 370400 502328    0    0     0    29  191  149  1  1 98  0
