yogafire 2017-04-07 00:00:01
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0   2940 241332 369164 1963044    0    0     1     1    0    0  0  0 99  0
 0  0   2940 240288 369168 1965752    0    0   179     7  121   72  0  0 99  0
 0  0   2940 236792 369172 1967708    0    0   128    10  123   86  0  0 100  0
 0  0   2940 234504 369180 1969912    0    0   150    73   94   67  0  0 99  0
 0  0   2940 231072 369184 1973376    0    0   231    74  116   74  0  0 99  0
 0  1   2940 228760 369184 1975932    0    0   167     9  124   87  0  0 99  0
 0  0   2940 226120 369188 1978568    0    0   176     1  103   81  0  0 99  0
 0  0   2940 222252 369192 1982508    0    0   264     6  109   80  0  0 99  0
 0  0   2940 217004 369216 1985088    0    0   173    22  191  141  0  0 99  0
 0  0   2940 215372 369224 1987728    0    0   176    19  140   94  0  0 99  0
 0  0   2940 210584 369224 1991416    0    0   246     6  126   81  0  0 99  0
 0  0   2940 206944 369232 1994888    0    0   237     4   97   66  0  0 99  0
 0  0   2940 203720 369244 1998084    0    0   205     6  125   82  0  0 99  0
 0  0   2940 202008 369248 1999696    0    0   109     6  121   97  0  0 99  0
 0  0   2940 199752 369256 2002148    0    0   165     5  121  102  0  0 99  0
 0  0   2940 195116 369292 2004796    0    0   167    88  279  205  3  1 96  0
 0  0   2940 191516 369300 2007872    0    0   206     2  122   83  0  0 99  0
 0  0   2940 190688 369308 2009716    0    0   126    25  111   79  0  0 100  0
 0  0   2940 187544 369308 2012612    0    0   193     1   97   72  0  0 100  0
 1  0   2940 184972 369316 2015348    0    0   182     2   87   69  0  0 100  0
 0  0   2940 181628 369316 2017236    0    0   126     1  101   80  0  0 99  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2940 183220 369316 2018500    0    0    84     6  112   75  0  0 100  0
 0  0   2940 185408 369320 2019780    0    0    85     5  117   81  0  0 100  0
 0  0   2940 182516 369324 2022800    0    0   201     1   95   74  0  0 99  0
 0  0   2940 180468 369324 2024892    0    0   139     1   97   67  0  0 100  0
 0  0   2940 178456 369328 2026944    0    0   135     9  107   84  0  0 99  0
 0  0   2940 171712 369356 2030136    0    0   212    32  180  127  1  0 98  0
 0  0   2940 168580 369360 2033416    0    0   219    11   94   82  0  0 99  0
 0  0   2940 163256 369380 2036012    0    0   171    35  221  175  0  0 99  0
 0  0   2940 162364 369384 2036736    0    0    48     7  109   90  0  0 100  0
 0  0   2940 161272 369388 2038128    0    0    93    18   98   78  0  0 100  0
 0  0   2940 157864 369392 2041536    0    0   227     1   93   72  0  0 100  0
 0  0   2940 157148 369392 2043328    0    0   119     2  102   68  0  0 100  0
 0  0   2940 153792 369400 2046768    0    0   228     9  151  109  0  0 99  0
 0  0   2940 151804 369404 2048916    0    0   146     1   94   77  0  0 100  0
 1  0   2940 151012 369404 2052900    0    0   261     7  113   69  0  0 99  0
 0  0   2940 148020 369416 2055944    0    0   206     2  101   70  0  0 100  0
 0  1   2940 142668 369448 2056928    0    0    60    41  262  186  2  1 97  0
 0  0   2940 139620 369460 2059336    0    0   165    22  136   90  0  0 99  0
 1  0   2940 137568 369468 2061320    0    0   132     7   92   66  0  0 100  0
 0  0   2940 132260 369472 2065204    0    0   259    10  129  103  0  0 99  0
 0  0   2940 132544 369476 2066344    0    0    74     7  110   88  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2940 129468 369476 2069404    0    0   204     3  103   80  0  0 99  0
 0  0   2940 128100 369480 2070768    0    0    92     6   94   80  0  0 100  0
 0  0   2940 129192 369488 2073936    0    0   211     1  149   85  0  0 99  0
 0  0   2940 128568 369500 2074944    0    0    67     7  123   90  0  0 99  0
 0  0   2940 126956 369504 2076760    0    0   119     5   89   65  0  0 100  0
 0  0   2940 122624 369520 2079704    0    0   197    41  152  116  1  0 99  0
 0  0   2940 120524 369528 2081748    0    0   137     8  105   70  0  0 100  0
 0  0   2940 116812 369528 2085344    0    0   239    16  122   97  0  0 99  0
 0  0   2940 114776 369532 2087404    0    0   137     4   98   71  0  0 100  0
 0  0   2940 113244 369540 2089348    0    0   135     2   92   72  0  0 100  0
 0  0   2940 109416 369540 2093268    0    0   254     6  117   85  0  0 99  0
 0  0   2940 108688 369540 2093888    0    0    43     5  106   79  0  0 100  0
 0  0   2940 107944 369540 2096596    0    0   179     5  111   69  0  0 100  0
 0  0   2940 103960 369540 2100568    0    0   263     1   90   75  0  0 99  0
 0  0   2940 101248 369540 2104540    0    0   267     1  117   67  0  0 100  0
 0  0   2940  99920 369540 2105932    0    0    93     7  121   96  0  0 99  0
 0  0   2940  96788 369544 2108956    0    0   202     1   95   69  0  0 100  0
 1  0   2940  93652 369548 2112100    0    0   210     1   99   72  0  0 100  0
 0  0   2940  92188 369552 2113508    0    0    94     1   97   81  0  0 100  0
 0  0   2940  91228 369556 2114428    0    0    60     5  125  108  0  1 99  0
 0  0   2940  89452 369564 2116328    0    0   127     1   86   67  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0   2940  85980 368948 2116156    0    0   162   104  396  161 11  1 88  0
 0  0   2940  84932 368952 2117596    0    0    87     6  112   86  0  0 100  0
 0  0   2940  81764 368956 2120204    0    0   171    22  137  103  0  1 98  1
 0  0   2940  83752 368316 2119828    0    0   172     3   95   67  0  0 99  0
 0  0   2940  83340 367808 2121148    0    0   272     2   96   72  0  0 100  0
 0  0   2940  82172 367304 2121552    0    0   227    28  186  126  0  0 99  0
 0  0   2940  85328 366808 2118752    0    0    17    14  123   94  0  1 99  0
 0  0   2940  86616 366816 2119908    0    0    85    15  109   70  0  0 100  0
 0  0   2940  83400 366840 2122164    0    0   137    35  171  122  1  0 98  0
 0  0   2940  84432 365820 2122240    0    0   222    17  112   72  0  0 100  0
 0  0   2940  81580 365820 2124772    0    0   160     8  121   83  0  1 99  0
 0  0   2940  81992 365056 2125524    0    0   230     1   92   68  0  0 99  0
 0  0   2940  83628 364040 2125376    0    0   170    10  109   93  0  0 100  0
 0  0   2940  83520 364044 2126404    0    0    68     2   99   69  0  0 100  0
 0  0   2940  82780 364052 2127448    0    0    68     8  110   76  0  1 99  0
 0  0   2940  82700 364056 2130128    0    0   177     2  107   69  0  0 99  0
 0  0   2940  84492 363304 2129312    0    0   128     4   95   76  0  0 100  0
yogafire 2017-04-07 00:20:01
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0   2940  85780 362292 2128608    0    0     1     1    0    0  0  0 99  0
 0  0   2940  82644 362300 2132616    0    0   273     6  119   78  0  0 99  0
 0  0   2940  84828 361536 2131948    0    0   125     6  101   76  0  0 100  0
 0  0   2940  82348 361536 2134052    0    0   145     1   90   65  0  0 100  0
 0  0   2940  82736 360520 2134680    0    0   217     1  130   83  0  0 99  0
 0  0   2940  81908 360524 2135648    0    0    68     5   97   68  0  0 100  0
 0  0   2940  86068 359504 2133948    0    0    94     1   96   65  0  0 100  0
 2  0   2940  83108 359516 2137136    0    0   208     5   92   70  0  0 99  0
 0  0   2940  84092 357496 2134152    0    0   214    29  206  139  0  1 98  0
 0  0   2940  84412 356744 2135084    0    0   237    15  130   81  0  0 99  0
 0  0   2940  82320 356756 2137252    0    0   145    28  104   75  0  0 100  0
 0  0   2940  84496 354724 2135824    0    0   300    13  164  108  0  0 99  0
 0  0   2940  87508 353704 2134144    0    0   115     9  122   80  0  0 99  0
 0  0   2940  85224 353716 2135764    0    0   102     8  139   88  0  0 99  0
 0  0   2940  83624 353720 2137428    0    0   111     1  100   67  0  0 100  0
 0  0   2940  84104 352704 2138228    0    0   266    11  122   79  0  0 99  0
 3  0   2940  85784 351688 2137156    0    0    97     1  104   71  0  0 100  0
 0  0   2940  87636 351696 2139184    0    0   138     7  133   81  0  1 99  0
 0  0   2940  87092 351700 2142704    0    0   235     6  112   76  0  0 99  0
 0  0   2940  84344 351700 2145544    0    0   188     1   93   66  0  0 99  0
 0  0   2940  82500 351708 2148248    0    0   179     4  118   72  0  0 99  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2940  85744 350944 2146420    0    0    60     6  141   89  0  2 98  0
 0  0   2940  84776 350956 2148212    0    0   119     6  107   69  0  0 100  0
 0  1   2940  82984 350960 2150044    0    0   122     2   93   61  0  0 98  2
 0  0   2940  82652 349940 2151480    0    0   272     1  127   79  0  0 97  2
 0  0   2940  83236 349180 2151716    0    0   196    11  163  101  0  1 99  0
 0  0   2940  84932 347900 2151064    0    0   191     1  117   70  0  0 99  1
 0  0   2940  83504 347144 2152352    0    0   265   240  200  118  2  1 97  0
 0  0   2940  84132 345880 2151508    0    0   183    18  170   98  0  1 98  0
 0  0   2940  82940 345884 2152864    0    0    85    14  118   75  0  0 100  0
 0  0   2940  85440 345120 2151276    0    0    77    13  104   70  0  0 100  0
 0  0   2940  82760 345120 2153888    0    0   171     1  102   67  0  0 99  0
 0  0   2940  83760 344104 2154256    0    0   204     2  148   87  0  1 99  0
 0  0   2940  84708 343084 2154768    0    0   247     8  131   81  0  0 99  0
 0  0   2940  84260 343088 2158352    0    0   228     1  136   75  0  0 99  0
 1  0   2940  84344 342068 2158320    0    0   205     7  150   96  0  0 99  0
 0  0   2940  86944 340296 2156980    0    0   264    30  196  116  1  1 98  0
 0  0   2940  85732 340300 2158192    0    0    85     5  111   74  0  0 100  0
 0  0   2940  83380 340304 2160660    0    0   162    13  120   72  0  0 100  0
 0  0   2940  83660 339544 2161368    0    0   229     1  118   75  0  0 100  0
 5  0   2940  84228 338532 2161788    0    0   239     2  132   75  0  1 99  0
 0  0   2940  85352 337516 2162536    0    0   246     8  159   96  0  1 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2940  84380 337520 2165684    0    0   213     2  133   79  0  0 99  0
 0  0   2940  84768 336500 2167384    0    0   290     7  122   77  0  0 99  0
 2  0   2940  84872 335732 2167488    0    0   182     1  144   82  0  0 99  0
 0  0   2940  84876 335732 2168336    0    0    69     5  131   76  0  0 99  0
 0  0   2940  85132 334708 2168208    0    0   188     7  144   88  0  0 99  0
 0  0   2940  85252 333684 2169472    0    0   263     2  119   75  0  0 99  0
 0  0   2940  82472 333684 2172016    0    0   170     3  128   78  0  0 99  0
 0  0   2940  82496 332668 2172964    0    0   265     9  152   89  0  1 99  0
 0  0   2940  83240 331900 2173716    0    0   232     2  149   94  0  0 99  0
 0  0   2940  82744 330880 2174764    0    0   281     1  125   79  0  0 99  0
 0  0   2940  83056 329856 2176644    0    0   299     2  155   92  0  1 99  0
 0  0   2940  86088 328840 2174596    0    0    68     6  114   70  0  0 100  0
 0  0   2940  84732 328844 2176004    0    0    94     1  108   69  0  0 100  0
 0  0   2940  83616 328860 2178144    0    0   139     5  108   82  0  0 100  0
 0  0   2940  85816 326816 2176036    0    0   273     4  184  117  0  1 99  0
 0  0   2940  82748 326816 2179492    0    0   230     5  124   80  0  0 100  0
 0  0   2940  83736 326056 2179840    0    0   202     5  127   79  0  0 100  0
 0  0   2940  82728 325040 2181912    0    0   315     1  124   78  0  0 99  0
 7  0   2940  83664 323004 2179484    0    0   258     2  155   96  0  3 97  0
 0  0   2940  99540 320652 2172652    0    0   152   100  348  297  2  5 92  1
